# CERN-SPSC-2023-033
# mass [GeV], coupling [1/GeV]
0.023077126835991335, 0.005171482072263622
0.02615303664857829, 0.003989688299910101
0.029758800600218512, 0.003429345704895215
0.032260696283419245, 0.002703490716724295
0.03539898394296582, 0.002225449995391099
0.03947476192105041, 0.0018719768318833827
0.0434900087605794, 0.0014441902648999838
0.04968619183665647, 0.0011633963569829165
0.055183789309904564, 0.0008975355166572387
0.0622872258387517, 0.0007075632339281272
0.06862288372548636, 0.0005824494184289984
0.07776950769299162, 0.0004397364725175804
0.08707449975907679, 0.0003466618922552437
0.09710010753196031, 0.0002762578032047881
0.11048746564810338, 0.00020856855212318857
0.12622902524484378, 0.00015917612730439586
0.14597019634761937, 0.00011508874753884229
0.16811878403497094, 0.0000796908484539693
0.2024185737177369, 0.00005699917169459958
0.23981305299055594, 0.000039467910205409816
0.28815786675033445, 0.00002617220875037628
0.34208134870097745, 0.000017927557609349763
0.4118731829816713, 0.000011633963569829177
0.4801471009078602, 0.000008321235121350771
0.5642751660595619, 0.000005951793946163957
0.6849058706570629, 0.00000377976490882236
0.8147160311848848, 0.0000024795119013000348
0.9691291021244588, 0.0000016801656929748327
1.1481644418982382, 0.0000011021825252050112
1.333097678568367, 7.798638319131265e-7
1.573010110601553, 5.060871986919671e-7
1.8636054492430008, 3.179416456867103e-7
2.163773765755927, 2.041075900569871e-7
2.412906946477561, 1.3830728955554433e-7
2.594735272015501, 9.892479622104599e-8
2.6907248920848654, 7.714787065217011e-8
2.707064913235624, 6.282349099294751e-8
2.6263451664706907, 5.060871986919692e-8
2.4720546507206835, 4.257042453553903e-8
2.2438203986170993, 3.862375202112825e-8
1.9799202911638296, 3.5042972591081464e-8
1.657751454460079, 3.3924732502827916e-8
1.38800531366296, 3.3924732502827916e-8
1.1621517481244377, 3.504297259108168e-8
1.0172240584106633, 3.5423851177594144e-8
0.7920194600689314, 3.862375202112825e-8
0.6498946850297358, 4.2570424535539294e-8
0.5080601477373436, 4.692037801362978e-8
0.3908189489882389, 5.578004666282449e-8
0.3130150731285615, 6.489430307986691e-8
0.2558111490711198, 7.075632339281265e-8
0.205713135139239, 8.411677798918159e-8
0.1715460879135996, 9.892479622104599e-8
0.1373948509717985, 1.176041196368326e-7
0.10740947709072031, 1.4286622765964933e-7
0.08464875569547495, 1.7544114594471338e-7
0.06355702595021198, 2.249638190225193e-7
0.04869351587378737, 2.8536391922827425e-7
0.03915738562498789, 3.4666189225524336e-7
0.03265370639723235, 4.076886665031633e-7
0.02712054191920541, 4.6920378013630067e-7
0.023077126835991335, 5.341946454507715e-7
